"date","yearBorn","yearDead","Name","description"
"1965-11 - 1","1965","-1","Gemma Nierga","periodista española."
"1966-11-1","1966","2002","Mary Hansen","músico australiano, de la banda Stereolab "
"1967-11 - 1","1967","-1","Tina Arena","cantante y actriz australiana."
"1968-11 - 1","1968","-1","Alberto San Juan","actor español."
"1970-11 - 1","1970","-1","Erik Spoelstra","entrenador estadounidense."
"1971-11 - 1","1971","-1","Antonio Sánchez","baterista mexicano."
"1972-11 - 1","1972","-1","Toni Collette","actriz australiana."
"1972-11 - 1","1972","-1","Paul Dickov","futbolista británico."
"1972-11 - 1","1972","-1","Jenny McCarthy","actriz estadounidense."
"1972-11 - 1","1972","-1","Alessandra Silvestri-Levy","escritora, periodista, curadora de arte, historiadora del arte y activista brasileña."
"1973-11 - 1","1973","-1","Magdalena Aicega","jugadora argentina de hockey sobre césped."
"1973-11 - 1","1973","-1","Igor González de Galdeano","ciclista español."
"1973-11 - 1","1973","-1","Aishwarya Rai","actriz india."
"1975-11 - 1","1975","-1","Roberto Dueñas","baloncestista español."
"1976-11 - 1","1976","-1","Logan Marshall-Green","actor estadounidense."
"1976-11 - 1","1976","-1","Sebastián Peratta","futbolista argentino."
"1977-11 - 1","1977","-1","Carl Cort","futbolista británico."
"1977-11 - 1","1977","-1","Flora Martínez","actriz colombo-canadiense."
"1978-11 - 1","1978","-1","Danny Koevermans","futbolista neerlandés."
"1979-11 - 1","1979","-1","David Cuéllar","futbolista español."
"1979-11 - 1","1979","-1","Luis Delgado","futbolista angoleño."
"1979-11 - 1","1979","-1","Milan Dudić","futbolista serbio."
"1980-11 - 1","1980","-1","Matías Manrique","futbolista argentino."
"1980-11 - 1","1980","-1","Dani Rovira","actor español."
"1981-11 - 1","1981","-1","Cristiano Brown Sansevero","político español."
"1982-11 - 1","1982","-1","Maria Chiara Augenti","actriz italiana."
"1982-11 - 1","1982","-1","Moharram Navidkia","futbolista y entrenador iraní."
"1983-11 - 1","1983","-1","Pedro López Muñoz","futbolista español."
"1983-11 - 1","1983","-1","Micaela Schäfer","modelo erótica, presentadora, disc-jockey, actriz de cine y televisión y cantante germano-brasileña."
"1983-11 - 1","1983","-1","Václav Svěrkoš","futbolista checo."
"1984-11 - 1","1984","-1","Damiano Ferronetti","futbolista italiano."
"1984-11 - 1","1984","-1","Natalia Tena","actriz británica."
"1984-11 - 1","1984","-1","Macnelly Torres","futbolista colombiano."
"1986-11 - 1","1986","-1","Penn Badgley","actor estadounidense."
"1988-11 - 1","1988","-1","Masahiro Tanaka","beisbolista japonés."
"1990-11 - 1","1990","-1","Simone Giertz","inventora y youtuber sueca."
"1992-11 - 1","1992","-1","Mayra Goñi","actriz y cantante peruana."
"1993-11 - 1","1993","-1","Richard Ofori Antwi","futbolista ghanés."
"1993-11 - 1","1993","-1","Kristy Black","actriz pornográfica y modelo erótica checa."
"1994-11 - 1","1994","-1","Rocky Lynch","cantante y guitarrista estadounidense."
"1994-11 - 1","1994","-1","Ardin Dallku","futbolista kosovar."
"1995-11 - 1","1995","-1","Margarita Mamún","gimnasta olímpica rusa."
"1996-11 - 1","1996","-1","Jeongyeon de TWICE","cantante surcoreana."
"1996-11-1","1996","2017","Lil Peep","rapero y cantante estadounidense "
"1997-11 - 1","1997","-1","Alex Wolff","actor, baterista, cantante y compositor estadounidense."
"1999-11 - 1","1999","-1","Buddy Handleson","actor estadounidense."
"2000-11 - 1","2000","-1","Kāto Kokoro","cantante surcoreana y exmiembro de Cherry Bullet"
"2004-11 - 1","2004","-1","Jayden Bartels","actriz estadounidense."
"1081-12-1","1081","1137","Luis VI","rey francés "
"1083-12-1","1083","1153","Ana Comneno","médica, historiadora y aristócrata griega "
"1443-12-1","1443","1495","Magdalena de Francia","princesa de Viana y regenta de Navarra "
"1521-12-1","1521","1573","Takeda Shingen","militar japonés "
"1525-12-1","1525","1600","Tadeas Hajek","físico y astrónomo checo "
"1580-12-1","1580","1637","Nicolas-Claude Fabri de Peiresc","astrónomo francés "
"1655-12-1","1655","1726","Antonio Palomino","pintor español "
"1709-12-1","1709","1789","Franz Xaver Richter","cantante, violinista, director de orquesta y compositor austríaco "
"1716-12-1","1716","1791","Étienne-Maurice Falconet","escultor francés "
"1729-12-1","1729","1802","Giuseppe Sarti","compositor italiano "
"1743-12-1","1743","1817","Martin Heinrich Klaproth","químico alemán "
"1761-12-1","1761","1850","Marie Tussaud","escultora francesa, que fundó el Museo de Cera Madame Tussaud "
"1792-12-1","1792","1856","Nikolái Lobachevski","matemático ruso "
"1800-12-1","1800","1855","Mihály Vörösmarty","escritor húngaro "
"1824-12-1","1824","1886","Patricio Lynch","militar peruano "
"1844-12-1","1844","1925","Alejandra de Schleswig","aristócrata danesa, esposa del rey británico Eduardo VII "
"1868-12-1","1868","1897","Eloy Gonzalo","militar español "
"1869-12-1","1869","1923","Eligiusz Niewiadomski","crítico de arte y pintor polaco de derechas, asesino del presidente polaco Gabriel Narutowicz "
"1873-12-1","1873","1924","Valeri Briúsov","poeta ruso "
"1879-12-1","1879","1924","Carlos Alfredo Becú","político argentino "
"1879-12-1","1879","1927","Natalia Chacón","personalidad mexicana, esposa del presidente Plutarco Elías Calles "
"1880-12-1","1880","1961","Akiba Rubinstein","ajedrecista polaco "
"1884-12-1","1884","1976","Karl Schmidt-Rottluff","pintor alemán "
"1886-12-1","1886","1975","Rex Stout","escritor estadounidense "
"1893-12-1","1893","1939","Ernst Toller","dramaturgo alemán "
"1896-12-1","1896","1974","Georgi Zhúkov","militar y político soviético "
"1897-12-1","1897","1938","Miguel Fleta","tenor español "
"1898-12-1","1898","1938","Agustín Magaldi","músico, compositor y cantor de tangos argentino "
"1903-12-1","1903","1981","Juana Couretot de Guella","activista argentina "
"1903-12-1","1903","1933","Takiji Kobayashi","escritor japonés "
"1904-12-1","1904","1981","Telesforo Monzón","político español "
"1905-12-1","1905","1984","Charles G. Finney","escritor estadounidense "
"1906-12-1","1906","1994","Enrique Segura","pintor español "
"1909-12-1","1909","1958","Franz Bardon","ocultista checo "
"1910-12-1","1910","2004","Alicia Markova","bailarina y coreógrafa británica "
"1912-12-1","1912","1993","Carlos Ollero Gómez","catedrático y politólogo español "
"1912-12-1","1912","1986","Minoru Yamasaki","arquitecto estadounidense, que diseñó las Torres Gemelas "
"1913-12-1","1913","1990","Mary Martin","actriz y cantante estadounidense "
"1917-12-1","1917","2006","Arturo Gutiérrez-Zamora Tejeda","banquero mexicano "
"1918-12-1","1918","2005","Bolívar Urrutia Parrilla","militar panameño "
"1920-12-1","1920","2019","Lê Đức Anh","militar y político vietnamita, presidente de Vietnam entre 1992 y 1997 "
"1922-12-1","1922","2011","Paul Picerni","actor estadounidense "
"1923-12-1","1923","2001","Morris","historietista belga, creador de Lucky Luke "
"1923-12-1","1923","2018","Stansfield Turner","militar estadounidense, exdirector de la CIA "
"1924-12-1","1924","2010","Otto Eléspuru","militar y político peruano "
"1925-12-1","1925","1998","Martin Rodbell","bioquímico estadounidense, premio Nobel de Fisiología o Medicina en 1994 "
"1928-12-1","1928","2013","Malachi Throne","actor estadounidense "
"1932-12-1","1932","1985","Matt Monro","cantante británico "
"1933-12-1","1933","2016","Violette Verdy","bailarina, coreógrafa y directora de baile francesa "
"1933-12-1","1933","2006","Lou Rawls","cantante-compositor, productor y actor estadounidense "
"1933-12 - 1","1933","-1","Curro Romero","torero español."
"1934-12-1","1934","2016","Billy Paul","cantante estadounidense "
"1935-12 - 1","1935","-1","Woody Allen","cineasta estadounidense."
"1936-12 - 1","1936","-1","María Servini de Cubría","jueza argentina."
"1937-12 - 1","1937","-1","Vaira Vike-Freiberga","política letona, presidenta de Letonia entre 1999 y 2007."
"1938-12 - 1","1938","-1","Adriana Aizemberg","actriz argentina."
"1939-12 - 1","1939","-1","Ismael Fernández de la Cuesta","musicólogo español."
"1939-12 - 1","1939","-1","Lee Trevino","golfista estadounidense."
"1940-12-1","1940","2005","Richard Pryor","actor y comediante estadounidense "
"1940-12-1","1940","2022","Minori Matsushima","seiyū japonesa "
"1941-12-1","1941","2005","Jesús Moncada","escritor español "
"1942-12 - 1","1942","-1","John Crowley","escritor estadounidense."
"1943-12 - 1","1943","-1","Finn Kydland","economista noruego."
"1944-12 - 1","1944","-1","Tahar Ben Jelloun","escritor marroquí en francés."
"1944-12 - 1","1944","-1","Eric Bloom","músico estadounidense, de la banda Blue Öyster Cult."
"1944-12 - 1","1944","-1","Salvador Cañellas","piloto de motos español."
"1944-12 - 1","1944","-1","John Densmore","baterista y compositor estadounidense, de la banda The Doors."
"1944-12 - 1","1944","-1","Daniel Pennac","escritor franco-marroquí."
"1945-12 - 1","1945","-1","Bette Midler","comediante y actriz estadounidense."
"1945-12 - 1","1945","-1","Emilio Sola","escritor español."
"1946-12 - 1","1946","-1","Gilbert O'Sullivan","cantante, compositor y pianista irlandés."
"1946-12 - 1","1946","-1","Alberto Bernabé Pajares","filólogo español."
"1946-12 - 1","1946","-1","Silvina Rada","actriz argentina."
"1947-12-1","1947","2009","Alain Bashung","cantautor y actor francés "
"1949-12-1","1949","1993","Pablo Escobar","narcotraficante colombiano "
"1949-12 - 1","1949","-1","Sebastián Piñera","político chileno, presidente de Chile entre 2010-2014 y 2018-2022."
"1950-12 - 1","1950","-1","Otto Pérez Molina","militar y político guatemalteco, presidente de Guatemala entre 2012 y 2015."
"1951-12 - 1","1951","-1","Obba Babatundé","actor estadounidense."
"1951-12 - 1","1951","-1","Sérgio Dias","cantante brasileño, de la banda Os Mutantes."
"1951-12-1","1951","1987","Jaco Pastorius","bajista, compositor, y productor estadounidense de jazz, de las bandas Blood, Sweat & Tears, y Weather Report "
"1951-12 - 1","1951","-1","Treat Williams","actor estadounidense."
"1955-12-1","1955","2021","Verónica Forqué","actriz y directora española "
"1956-12 - 1","1956","-1","Carlos Cámara Jr.","actor venezolano-mexicano."
"1957-12 - 1","1957","-1","Chris Poland","guitarrista estadounidense, de la banda Megadeth."
"1957-12 - 1","1957","-1","Deep Roy","actor keniano (Umpa-Lumpa en Charlie y la fábrica de chocolate)."
"1958-12 - 1","1958","-1","Javier el Vasco Aguirre","jugador y entrenador de fútbol mexicano."
"1958-12 - 1","1958","-1","Candace Bushnell","escritora y columnista estadounidense, creadora de Sex and the city."
"1958-12 - 1","1958","-1","Charlene Tilton","actriz estadounidense."
"1959-12 - 1","1959","-1","Billy Childish","pintor, poeta, cantante y guitarrista británico."
"1959-12-1","1959","2009","Pascal Terry","piloto de motociclismo francés "
"1960-12 - 1","1960","-1","Carol Alt","modelo estadounidense."
"1960-12 - 1","1960","-1","Paco Collado","humorista español."
"1961-12 - 1","1961","-1","Jeremy Northam","actor británico."
"1961-12 - 1","1961","-1","Lito Vitale","músico, compositor, pianista, productor y arreglador argentino."
"1962-12 - 1","1962","-1","Pamela McGee","baloncestista y entrenadora estadounidense."
"1963-12 - 1","1963","-1","Soraya Rodríguez","política española."
"1964-12 - 1","1964","-1","Salvatore Schillaci","futbolista italiano."
"1966-12 - 1","1966","-1","Andrew Adamson","cineasta, productor y guionista neozelandés."
"1966-12 - 1","1966","-1","Katherine LaNasa","actriz estadounidense."
"1966-12 - 1","1966","-1","Larry Walker","beisbolista canadiense."
"1967-12 - 1","1967","-1","Nestor Carbonell","actor estadounidense."
"1968-12 - 1","1968","-1","Justin Chadwick","actor y director británico."
"1969-12 - 1","1969","-1","Jorge Bechara","director y guionista argentino."
"1969-12 - 1","1969","-1","Mateo Garralda","jugador español de balonmano."
"1970-12 - 1","1970","-1","Jouko Ahola","actor y strongman finlandés."
"1970-12 - 1","1970","-1","Sarah Silverman","actriz, cantante, comediante y escritora estadounidense."
"1970-12 - 1","1970","-1","Bibiana Navas","actriz y productora colombiana."
"1971-12 - 1","1971","-1","Emily Mortimer","actriz británica."
"1972-12 - 1","1972","-1","Manny Manuel","cantante puertorriqueño."
"1972-12 - 1","1972","-1","Nicolás Scarpino","actor argentino."
"1973-12 - 1","1973","-1","Andrea Bertolini","piloto de automovilismo italiano."
"1973-12 - 1","1973","-1","Carlos Bossio","futbolista argentino."
"1973-12 - 1","1973","-1","Steve Gibb","cantante, compositor y guitarrista estadounidense, de la banda Black Label Society."
"1973-12 - 1","1973","-1","León Rubén Larregui Marín","cantante y compositor mexicano."
"1973-12 - 1","1973","-1","Jon Theodore","baterista estadounidense, de la banda The Mars Volta."
"1973-12 - 1","1973","-1","Akiko Nakagawa","seiyū japonesa."
"1974-12 - 1","1974","-1","Costinha","futbolista portugués."
"1974-12 - 1","1974","-1","Isaiah Ikey Owens","tecladista estadounidense, de la banda The Mars Volta."
"1974-12 - 1","1974","-1","Érica Rivas","actriz de cine, teatro y televisión argentina."
"1974-12 - 1","1974","-1","María Vázquez","modelo, conductora y empresaria argentina."
"1976-12 - 1","1976","-1","Pablo Chiapella","actor español."
"1976-12 - 1","1976","-1","Tomasz Adamek","boxeador polaco."
"1976-12-1","1976","1998","Matthew Shepard","estudiante universitario estadounidense torturado y asesinado por ser gay "
"1977-12 - 1","1977","-1","Brad Delson","guitarrista y productor estadounidense, de la banda Linkin Park."
"1982-12 - 1","1982","-1","Lloyd Doyley","futbolista británico."
"1982-12 - 1","1982","-1","Christos Melissis","futbolista griego."
"1983-12 - 1","1983","-1","Michelle Rodríguez","actriz y comediante mexicana."
"1985-12 - 1","1985","-1","Janelle Monáe","cantante y compositora estadounidense."
"1985-12 - 1","1985","-1","Emiliano Viviano","futbolista italiano."
"1985-12 - 1","1985","-1","Pierluigi Frattali","futbolista italiano."
"1985-12 - 1","1985","-1","Björn Vleminckx","futbolista belga."
"1985-12 - 1","1985","-1","Roberto Ovelar","futbolista paraguayo."
"1988-12 - 1","1988","-1","Tyler Joseph","músico, cantante, rapero y compositor estadounidense, de la banda Twenty One Pilots."
"1988-12 - 1","1988","-1","Zoë Kravitz","actriz y cantante estadounidense."
"1989-12 - 1","1989","-1","Barry Bannan","futbolista escocés."
"1990-12 - 1","1990","-1","Chanel Iman","modelo estadounidense."
"1990-12 - 1","1990","-1","Darío Yazbek","actor mexicano."
"1991-12 - 1","1991","-1","Sun Yang","nadador chino."
"1992-12 - 1","1992","-1","Marco van Ginkel","futbolista neerlandés."
"1992-12 - 1","1992","-1","Javier Báez","beisbolista puertorriqueño."
"1995-12 - 1","1995","-1","Eva Boto","cantante eslovena."
"1997-12 - 1","1997","-1","Sarah Brannon","modelo estadounidense."
"2001-12 - 1","2001","-1","Aiko","princesa de Japón."
"2003-12 - 1","2003","-1","Robert Irwin","conservacionista de la vida salvaje, fotógrafo y presentador televisivo australiano-estadounidense."
