"date","yearBorn","yearDead","Name","description"
"1986-7 - 1","1986","-1","Agnez Mo","cantante, compositora, productora y actriz indonesia."
"1986-7 - 1","1986","-1","Giovanni Moreno","futbolista colombiano."
"1988-7 - 1","1988","-1","Anderson Vital da Silva","futbolista brasileño."
"1989-7 - 1","1989","-1","Kent Bazemore","baloncestista estadounidense."
"1989-7 - 1","1989","-1","Mitch Hewer","actor, cantante y bailarín británico."
"1989-7 - 1","1989","-1","Leah McFall","cantante y compositor norirlandés."
"1989-7 - 1","1989","-1","Daniel Ricciardo","piloto australiano de F1."
"1991-7 - 1","1991","-1","Lucas Vázquez","futbolista español."
"1991-7 - 1","1991","-1","Annalie Longo","futbolista neozelandesa."
"1992-7 - 1","1992","-1","Mia Malkova","actriz pornográfica estadounidense."
"1995-7 - 1","1995","-1","Boli Bolingoli-Mbombo","futbolista belga."
"1995-7 - 1","1995","-1","Taeyong","rapero surcoreano."
"1996-7 - 1","1996","-1","Adelina Sotnikova","patinadora rusa."
"1998-7 - 1","1998","-1","Gjon's Tears","cantante suizo y representante de Suiza en Eurovisión 2021."
"1999-7 - 1","1999","-1","Charles Armstrong-Jones","miembro de la familia real británica."
"2000-7 - 1","2000","-1","Marco Carnesecchi","futbolista italiano."
"2003-7 - 1","2003","-1","Tate McRae","cantante canadiense."
"10-8-1","10","54","Claudio","emperador de Roma entre el 41 y el 54 "
"126-8-1","126","193","Pertinax","emperador romano "
"845-8-1","845","903","Sugawara no Michizane","académico, político y poeta japonés "
"992-8-1","992","1031","Hyeonjong de Goryeo","rey coreano "
"1313-8-1","1313","1364","Kōgon","emperador japonés. "
"1377-8-1","1377","1433","Go-Komatsu","emperador japonés "
"1520-8-1","1520","1572","Segismundo II Augusto Jagellón","primer rey de Polonia-Lituania "
"1579-8-1","1579","1644","Luis Vélez de Guevara","escritor español "
"1714-8-1","1714","1782","Richard Wilson","pintor galés "
"1719-8-1","1719","1798","Pedro Pablo Abarca de Bolea","militar y aristócrata español "
"1744-8-1","1744","1829","Jean-Baptiste Lamarck","botánico y zoólogo francés "
"1757-8-1","1757","1815","Pedro Estala","escritor, helenista, filólogo, traductor, crítico literario, editor y religioso escolapio español "
"1770-8-1","1770","1838","William Clark","explorador estadounidense "
"1779-8-1","1779","1851","Lorenz Oken","naturalista alemán "
"1779-8-1","1779","1843","Francis Scott Key","abogado estadounidense, autor del himno nacional de los Estados Unidos "
"1782-8-1","1782","1861","Eugenio de Mazenod","sacerdote francés, fundador de la Congregación de Misioneros Oblatos de María Inmaculada "
"1818-8-1","1818","1889","Maria Mitchell","astrónoma estadounidense "
"1819-8-1","1819","1891","Herman Melville","escritor estadounidense "
"1837-8-1","1837","1899","José María Galván y Candela","pintor y grabador español "
"1837-8-1","1837","1930","Mother Jones","agitadora sindical irlandesa "
"1847-8-1","1847","1921","Pedro Palacios y Sáenz","ingeniero español "
"1847-8-1","1847","1941","Anton Reichenow","ornitólogo alemán "
"1856-8-1","1856","1932","Daniel Hernández Morillo","pintor peruano "
"1858-8-1","1858","1884","Hans Rott","compositor austriaco "
"1859-8-1","1859","1944","Pedro Núñez Granés","arquitecto e ingeniero español "
"1862-8-1","1862","1936","M. R. James","escritor británico "
"1863-8-1","1863","1937","Gaston Doumergue","estadista francés "
"1865-8-1","1865","1947","Eugenio Napoleón","aristócrata sueco "
"1873-8-1","1873","1915","Francisco Contreras Ballesteros","militar mexicano "
"1873-8-1","1873","1942","Gabriel Terra","abogado y político uruguayo "
"1875-8-1","1875","1951","Elpidio González","político argentino "
"1879-8-1","1879","1957","Augusto Samuel Boyd","cirujano y político panameño "
"1885-8-1","1885","1966","George Hevesy","químico húngaro, premio Nobel de Química en 1943 "
"1893-8-1","1893","1920","Alejandro I","rey griego "
"1894-8-1","1894","1927","Ottavio Bottecchia","ciclista italiano "
"1894-8-1","1894","2000","Juan Filloy","escritor argentino "
"1899-8-1","1899","1978","William Steinberg","director de orquesta y músico alemán "
"1902-8-1","1902","2004","Serafina Quinteras","escritora peruana "
